"ID","Status_Name","Historical_Step_Status.Duration","Submission_Historical_Status_StartDate","Submission_Historical_Status_EndDate","Historical_Step_Name","process_end","New","Hiring Manager Slate Decision","Phase 2 Employment Application","Hiring Manager Interview","Offer","Additional Interview","Assessment","Assessment 1","Assessment 2","Background Check","Criminal Check","Evaluation","Pre-Employment Screen","Recruiter Interview","Verification Check","Hire"
4,"Approved",0.001793981,2018-07-24 18:01:00,"43305.75277777778","Offer","In Process",NA,NA,NA,NA,0.001793981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Extended",0.000266204,2018-07-24 18:04:00,"43305.75277777778","Offer","In Process",NA,NA,NA,NA,0.000266204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Accepted",0.000335648,2018-07-31 21:20:00,"43312.888888888891","Offer","In Process",NA,NA,NA,NA,0.000335648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Hired",12.694594914,2018-07-31 21:20:00,"NA","Hire","END",0,9.26e-05,0,0.000127315,6.738067129,0,0,0,0,0,0,0,0,0,0,12.694594914
5,"To be Reviewed",2.073738426,2018-09-18 20:32:00,"43363.929861111108","New","In Process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Resume Review Qualified",18.73216435,2018-09-20 22:19:00,"43382.661805555559","New","In Process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"INTERNAL EE - NO PHASE 2",8.1e-05,2018-10-09 15:53:00,"43382.661805555559","Phase 2 Employment Application","In Process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Hiring Manager Review Passed",6.94e-05,2018-10-09 15:53:00,"43382.661805555559","Hiring Manager Slate Decision","In Process",NA,6.94e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"HM Interview To Be Scheduled",0.127766204,2018-10-09 15:53:00,"43382.789583333331","Hiring Manager Interview","In Process",NA,NA,NA,0.127766204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"HM Interview Scheduled",8.888888889,2018-10-09 18:57:00,"43391.678472222222","Hiring Manager Interview","In Process",NA,NA,NA,8.888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"HM Interview Passed",5.79e-05,2018-10-18 16:17:00,"43391.678472222222","Hiring Manager Interview","In Process",NA,NA,NA,5.79e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Offer to be made",0.00318287,2018-10-18 16:17:00,"43391.681944444441","Offer","In Process",NA,NA,NA,NA,0.00318287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Draft",0.101076389,2018-10-18 16:22:00,"43391.782638888886","Offer","In Process",NA,NA,NA,NA,0.101076389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Approval in Progress",5.008171296,2018-10-18 18:47:00,"43396.790972222225","Offer","In Process",NA,NA,NA,NA,5.008171296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Approved",0.000162037,2018-10-23 18:59:00,"43396.790972222225","Offer","In Process",NA,NA,NA,NA,0.000162037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Extended",0.000115741,2018-10-23 18:59:00,"43396.790972222225","Offer","In Process",NA,NA,NA,NA,0.000115741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Accepted",0.037650463,2018-10-23 19:04:00,"43396.832638888889","Offer","In Process",NA,NA,NA,NA,0.037650463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Rescinded",0.001400463,2018-10-23 19:59:00,"43396.834027777775","Offer","In Process",NA,NA,NA,NA,0.001400463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Draft",0.002662037,2018-10-23 20:01:00,"43396.836805555555","Offer","In Process",NA,NA,NA,NA,0.002662037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Approved",0.000231481,2018-10-23 20:05:00,"43396.836805555555","Offer","In Process",NA,NA,NA,NA,0.000231481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Extended",0.000115741,2018-10-23 20:05:00,"43396.836805555555","Offer","In Process",NA,NA,NA,NA,0.000115741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Approval in Progress",1.16e-05,2018-10-23 20:05:00,"43396.836805555555","Offer","In Process",NA,NA,NA,NA,1.16e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Accepted",0.000474537,2018-10-25 20:29:00,"43398.853472222225","Offer","In Process",NA,NA,NA,NA,0.000474537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Hired",34.978020824,2018-10-25 20:29:00,"NA","Hire","END",0,6.94e-05,0,9.016712993,5.155254655,0,0,0,0,0,0,0,0,0,0,34.978020824
